Fälle;Prognose;Dunkelziffer;Einwohner;Landkreis;Bundesland
23;143.0;120.0;259130;LK Mecklenburgische Seenplatte;Mecklenburg-Vorpommern
13;143.0;130.0;224684;LK Vorpommern-Rügen;Mecklenburg-Vorpommern
12;109.0;97.0;133210;LK Dithmarschen;Schleswig-Holstein
25;110.0;85.0;248292;SK Braunschweig;Niedersachsen
28;326.0;298.0;178936;LK Celle;Niedersachsen
44;110.0;66.0;203102;LK Stade;Niedersachsen
13;110.0;97.0;192840;LK Euskirchen;Nordrhein-Westfalen
13;219.0;206.0;260654;SK Gelsenkirchen;Nordrhein-Westfalen
64;220.0;156.0;587010;SK Dortmund;Nordrhein-Westfalen
15;110.0;95.0;394782;LK Unna;Nordrhein-Westfalen
17;109.0;92.0;105878;LK Vogelsbergkreis;Hessen
29;110.0;81.0;156953;LK Waldeck-Frankenberg;Hessen
18;109.0;91.0;125960;SK Heilbronn;Baden-Württemberg
219;109.0;-110.0;112010;LK Hohenlohekreis;Baden-Württemberg
108;110.0;2.0;158397;LK Calw;Baden-Württemberg
74;329.0;255.0;429479;LK Ortenaukreis;Baden-Württemberg
108;109.0;1.0;99726;LK Miesbach;Bayern
78;109.0;31.0;135348;LK Weilheim-Schongau;Bayern
20;325.0;305.0;136271;LK Erlangen-Höchstadt;Bayern
18;109.0;91.0;127880;SK Würzburg;Bayern
14;109.0;95.0;103218;LK Bad Kissingen;Bayern
50;218.0;168.0;174200;LK Neu-Ulm;Bayern
61;110.0;49.0;155362;LK Oberallgäu;Bayern
65;222.0;157.0;3644826;SK Berlin Mitte;Berlin
10;110.0;100.0;161909;LK Havelland;Brandenburg
67;337.0;270.0;252776;LK Harburg;Niedersachsen
64;85.0;21.0;357343;LK Osnabrück;Niedersachsen
35;85.0;50.0;261454;SK Mönchengladbach;Nordrhein-Westfalen
72;85.0;13.0;485684;LK Mettmann;Nordrhein-Westfalen
35;169.0;134.0;250783;LK Herford;Nordrhein-Westfalen
111;169.0;58.0;310710;LK Minden-Lübbecke;Nordrhein-Westfalen
39;85.0;46.0;236633;LK Kassel;Hessen
47;85.0;38.0;210889;LK Mainz-Bingen;Rheinland-Pfalz
