1 50.0 49.0 DEC02 103366
32 101.0 69.0 DE300 3644826
25 50.0 25.0 DE40G 114429
13 50.0 37.0 DE40H 168296
17 101.0 84.0 DE80K 215113
12 77.0 65.0 DEF0A 128647
75 77.0 2.0 DE944 164748
57 39.0 -18.0 DE949 325657
14 39.0 25.0 DE94D 130144
15 39.0 24.0 DE502 113634
9 39.0 30.0 DEA31 117383
11 39.0 28.0 DEA41 333786
11 39.0 28.0 DEA53 188814
6 39.0 33.0 DE713 128744
52 39.0 -13.0 DE714 278342
35 231.0 196.0 DE724 246648
76 78.0 2.0 DE732 222584
120 39.0 -81.0 DEB17 214259
58 77.0 19.0 DEB18 181941
60 39.0 -21.0 DEB1B 201597
97 39.0 -58.0 DE11A 195861
45 77.0 32.0 DE217 153884
45 116.0 71.0 DE21A 137660
24 39.0 15.0 DE21D 88467
18 39.0 21.0 DE21J 127151
42 77.0 35.0 DE226 122258
68 39.0 -29.0 DE227 158698
55 39.0 -16.0 DE22A 120659
29 39.0 10.0 DE22B 100649
35 39.0 4.0 DE22C 96217
27 78.0 51.0 DE238 193572
9 77.0 68.0 DE25A 100364
13 39.0 26.0 DE26A 126365
10 39.0 29.0 DE26C 161834
36 191.0 155.0 DE27A 81669
10 39.0 29.0 DE27D 133496
80 39.0 -41.0 DEC01 329708
25 39.0 14.0 DEC03 132206
24 39.0 15.0 DEC04 195201
28 77.0 49.0 DEC05 142631
97 78.0 -19.0 DE300 3644826
40 117.0 77.0 DE300 3644826
8 39.0 31.0 DE407 102638
5 39.0 34.0 DE40B 110476
12 39.0 27.0 DED2D 254894
31 78.0 47.0 DED52 257763
39 90.0 51.0 DEF02 247548
12 30.0 18.0 DEF08 200581
61 30.0 -31.0 DE922 216886
23 30.0 7.0 DE923 148559
23 178.0 155.0 DE936 113517
25 89.0 64.0 DE93B 136792
23 30.0 7.0 DE947 189848
41 30.0 -11.0 DEA14 227020
13 119.0 106.0 DEA18 110994
9 89.0 80.0 DEA19 159360
69 60.0 -9.0 DEA1B 310974
29 30.0 1.0 DEA24 163838
48 90.0 42.0 DEA27 470089
72 60.0 -12.0 DEA36 615261
36 60.0 24.0 DEA47 306890
60 30.0 -30.0 DEA57 260475
15 30.0 15.0 DEA5A 278210
12 30.0 18.0 DEA5B 301902
53 60.0 7.0 DE71A 237735
37 30.0 -7.0 DEB14 158080
45 60.0 15.0 DEB1D 102937
18 30.0 12.0 DEB22 112262
28 118.0 90.0 DEB24 60603
11 30.0 19.0 DEB31 48561
14 89.0 75.0 DE129 125542
13 30.0 17.0 DE13A 170619
95 30.0 -65.0 DE141 286748
20 30.0 10.0 DE233 42520
18 89.0 71.0 DE234 103109
18 60.0 42.0 DE236 133561
111 30.0 -81.0 DE23A 72504
26 119.0 93.0 DE246 103656
19 30.0 11.0 DE248 116099
7 30.0 23.0 DE268 90909
59 90.0 31.0 DE300 3644826
37 60.0 23.0 DE405 182760
23 90.0 67.0 DE409 194328
32 30.0 -2.0 DE40C 178658
12 60.0 48.0 DE40E 214664
41 90.0 49.0 DED41 247237
21 60.0 39.0 DED2E 242165
43 60.0 17.0 DEE02 239257
39 30.0 -9.0 DEE03 238697
15 30.0 15.0 DEE08 180190
14 30.0 16.0 DEE0B 184582
13 30.0 17.0 DEE0C 190560
10 30.0 20.0 DEG05 65090
1 30.0 29.0 DEG0N 42370
11 60.0 49.0 DEG0A 75009
7 30.0 23.0 DEG0F 108742
16 30.0 14.0 DEG0J 83051
33 46.0 13.0 DEF0B 272775
25 23.0 -2.0 DEF0C 200025
16 23.0 7.0 DE912 104948
27 46.0 19.0 DE914 175920
12 69.0 57.0 DE918 132765
21 46.0 25.0 DE926 70975
14 46.0 32.0 DE927 121386
49 23.0 -26.0 DE935 183372
7 23.0 16.0 DE93A 92572
7 69.0 62.0 DE942 50195
28 23.0 -5.0 DE943 168210
4 23.0 19.0 DE948 169348
41 46.0 5.0 DE94F 141598
4 23.0 19.0 DE94H 56882
17 92.0 75.0 DEA16 170880
37 23.0 -14.0 DEA1A 354382
101 138.0 37.0 DEA42 364083
6 46.0 40.0 DEA55 156374
11 23.0 12.0 DEA56 324296
9 23.0 14.0 DEA59 134775
40 23.0 -17.0 DE71E 306460
43 69.0 26.0 DE731 201585
33 92.0 59.0 DEB1A 122308
17 23.0 6.0 DEB34 171061
10 23.0 13.0 DEB36 53148
14 69.0 55.0 DEB3F 106057
8 23.0 15.0 DE213 63324
47 46.0 -1.0 DE216 127227
30 23.0 -7.0 DE223 47794
52 23.0 -29.0 DE224 119326
30 23.0 -7.0 DE249 95311
12 23.0 11.0 DE25C 94393
14 23.0 9.0 DE267 84599
4 46.0 42.0 DE26B 115106
47 366.0 319.0 DE276 251534
22 69.0 47.0 DE27C 144041
20 69.0 49.0 DE402 100219
23 23.0 0.0 DE803 208886
33 23.0 -10.0 DE804 95818
9 23.0 14.0 DEE05 159854
29 46.0 17.0 DEE07 171734
5 23.0 18.0 DEE0A 136249
4 23.0 19.0 DEG02 94152
17 18.0 1.0 DEF07 165507
17 36.0 19.0 DEF0F 243196
51 71.0 20.0 DE91C 328074
25 18.0 -7.0 DE928 157781
11 36.0 25.0 DEA17 210829
16 36.0 20.0 DEA54 179111
62 53.0 -9.0 DE716 297399
25 106.0 81.0 DE733 120829
58 53.0 -5.0 DE735 180222
37 88.0 51.0 DEB12 129727
4 36.0 32.0 DEB13 128705
41 35.0 -6.0 DEB1C 61587
11 53.0 42.0 DEB21 110636
69 36.0 -33.0 DEB3B 129244
17 18.0 1.0 DEB3D 75101
19 18.0 -1.0 DEB3G 70526
30 18.0 -12.0 DEB3H 110356
9 18.0 9.0 DEB3I 154201
47 71.0 24.0 DE11C 132472
6 18.0 12.0 DE215 105722
24 18.0 -6.0 DE219 132341
28 18.0 -10.0 DE221 72404
25 53.0 28.0 DE229 77656
24 36.0 12.0 DE232 152610
39 18.0 -21.0 DE259 170365
48 36.0 -12.0 DE264 174208
12 35.0 23.0 DE266 79690
28 18.0 -10.0 DE269 128756
29 176.0 147.0 DEC06 87397
16 18.0 2.0 DE406 169067
115 18.0 -97.0 DED45 317531
9 36.0 27.0 DED53 197673
3 18.0 15.0 DEE04 83765
12 36.0 24.0 DEE09 214446
11 36.0 25.0 DEE0E 125840
13 18.0 5.0 DEG0B 122347
16 88.0 72.0 DEG0I 106356
12 27.0 15.0 DEF0E 131347
15 41.0 26.0 DE913 124151
18 68.0 50.0 DE916 137014
16 27.0 11.0 DE917 91307
16 27.0 11.0 DE91A 133965
4 14.0 10.0 DE938 139755
23 27.0 4.0 DE711 159207
56 14.0 -42.0 DE723 172083
7 27.0 20.0 DEB38 50378
13 41.0 28.0 DE137 140152
6 14.0 8.0 DE222 52469
13 14.0 1.0 DE225 78355
2 14.0 12.0 DE231 41970
26 14.0 -12.0 DE237 94352
28 55.0 27.0 DE245 147086
13 27.0 14.0 DE24A 67135
20 14.0 -6.0 DE24C 66838
21 149.0 128.0 DE261 70527
16 14.0 -2.0 DE274 43837
12 14.0 2.0 DE278 125747
21 14.0 -7.0 DE80O 212618
33 27.0 -6.0 DED42 337696
24 55.0 31.0 DED43 306185
4 14.0 10.0 DEE06 89928
4 14.0 10.0 DEG04 34835
7 14.0 7.0 DEG06 100380
3 27.0 24.0 DEG07 83822
6 27.0 21.0 DEG0M 90118
13 42.0 29.0 DEF01 89504
2 21.0 19.0 DEA44 140667
17 21.0 4.0 DE71B 96798
5 11.0 6.0 DEB33 46677
27 11.0 -16.0 DE21I 96680
2 11.0 9.0 DE241 77592
27 32.0 5.0 DE247 86906
21 84.0 63.0 DEG03 111407
4 11.0 7.0 DEG0C 135452
36 11.0 -25.0 DEG0L 98159
21 57.0 36.0 DEB25 148945
46 16.0 -30.0 DE24D 73178
36 16.0 -20.0 DE256 183949
3 16.0 13.0 DE401 72124
16 16.0 0.0 DED44 227796
7 6.0 -1.0 DEF04 79487
3 6.0 3.0 DE737 101017
5 6.0 1.0 DEB15 80720
11 6.0 -5.0 DEB3K 95113
17 19.0 2.0 DE80M 156729
5 13.0 8.0 DEE01 81237
9 6.0 -3.0 DEE0D 111982
5 6.0 1.0 DEG09 102912
9 6.0 -3.0 DEG0G 81947
3 5.0 2.0 DE91B 119960
4 5.0 1.0 DEB39 83330
20 5.0 -15.0 DE214 111210
33 24.0 -9.0 DE21G 115250
13 53.0 40.0 DE24B 71845
5 5.0 0.0 DE403 57873
22 48.0 26.0 DE404 178089
4 5.0 1.0 DE40I 119552
4 10.0 6.0 DEG0P 123025
5 15.0 10.0 DE94G 88624
6 4.0 -2.0 DE242 74657
3 11.0 8.0 DE251 41847
8 4.0 -4.0 DE277 96021
7 19.0 12.0 DE40D 99078
5 3.0 -2.0 DE934 48424
1 3.0 2.0 DEB37 40403
3 3.0 0.0 DEG0D 69655
1 2.0 1.0 DEB3A 34209
1 2.0 1.0 DEG0E 63553
